arquitectura,fase,semilla,archivo,modelo_evaluado,tarea,peaton,n_episodios,n_objetivos,repeticiones,columnas,resultados,estado,decision_inclusion,motivo
STH-WP,stage1,42,no disponible,no disponible,aproximacion simple a una unica ubicacion,False,no disponible,no disponible,no disponible,no disponible,no disponible,ausente,excluido,"CORREGIDO tras verificar MODEL_PATH en los scripts de inferencia: la unica inferencia de Fase 1 que evalua la cadena CANONICA (run002, la que continua a Fase 2->3v2->4v2->...->E2.1) es infer_run002_s524_stage1.csv (verificado: infer_run002_s524_stage1.py carga 'pruebas/run002_s524_stage1_final'). Tambien existe infer_run001_s123_stage1.csv, pero ese script (inferencia_sthwp/infer_stage1.py) carga 'pruebas/run001_s123_stage1_final', el checkpoint de la rama run001 -- la primera pasada de fases 1-3 que la auditoria de entrenamiento confirmo que NO continua a Fase 3v2/4v2 y por tanto queda FUERA de la cadena valida. Se EXCLUYE de la Fase 1 canonica para no mezclar una rama valida con un entrenamiento descartado, y se registra aqui solo como nota. No existe ninguna inferencia de Fase 1 (ni run001 ni run002) para la semilla 42: hueco visible, no se sustituye por otra semilla."
STH-WP,stage1,123,no disponible,no disponible,aproximacion simple a una unica ubicacion,False,no disponible,no disponible,no disponible,no disponible,no disponible,ausente,excluido,"CORREGIDO tras verificar MODEL_PATH en los scripts de inferencia: la unica inferencia de Fase 1 que evalua la cadena CANONICA (run002, la que continua a Fase 2->3v2->4v2->...->E2.1) es infer_run002_s524_stage1.csv (verificado: infer_run002_s524_stage1.py carga 'pruebas/run002_s524_stage1_final'). Tambien existe infer_run001_s123_stage1.csv, pero ese script (inferencia_sthwp/infer_stage1.py) carga 'pruebas/run001_s123_stage1_final', el checkpoint de la rama run001 -- la primera pasada de fases 1-3 que la auditoria de entrenamiento confirmo que NO continua a Fase 3v2/4v2 y por tanto queda FUERA de la cadena valida. Se EXCLUYE de la Fase 1 canonica para no mezclar una rama valida con un entrenamiento descartado, y se registra aqui solo como nota. No existe ninguna inferencia de Fase 1 (ni run001 ni run002) para la semilla 42: hueco visible, no se sustituye por otra semilla."
STH-WP,stage1,524,inferencia_sthwp/resultados/infer_run002_s524_stage1.csv,"stage1_s524_final (o equivalente, ver observaciones de fase)",aproximacion simple a una unica ubicacion,False,100,1,100,episodio;goal_id;tipo_episodio;resultado;pasos;reward;llego_estanteria,exito,completo,incluido,"CORREGIDO tras verificar MODEL_PATH en los scripts de inferencia: la unica inferencia de Fase 1 que evalua la cadena CANONICA (run002, la que continua a Fase 2->3v2->4v2->...->E2.1) es infer_run002_s524_stage1.csv (verificado: infer_run002_s524_stage1.py carga 'pruebas/run002_s524_stage1_final'). Tambien existe infer_run001_s123_stage1.csv, pero ese script (inferencia_sthwp/infer_stage1.py) carga 'pruebas/run001_s123_stage1_final', el checkpoint de la rama run001 -- la primera pasada de fases 1-3 que la auditoria de entrenamiento confirmo que NO continua a Fase 3v2/4v2 y por tanto queda FUERA de la cadena valida. Se EXCLUYE de la Fase 1 canonica para no mezclar una rama valida con un entrenamiento descartado, y se registra aqui solo como nota. No existe ninguna inferencia de Fase 1 (ni run001 ni run002) para la semilla 42: hueco visible, no se sustituye por otra semilla."
STH-WP,stage2,42,no disponible,no disponible,aproximacion generalizada a 28 ubicaciones,False,no disponible,no disponible,no disponible,no disponible,no disponible,ausente,excluido,"CORREGIDO: verificado por MODEL_PATH que infer_run002_s524_stage2.py carga 'pruebas/run002_s524_stage2_final' (cadena canonica). Los tres archivos infer_run001_s{42,123,524}_stage2.csv SI existen, pero sus scripts (inferencia_sthwp/infer_stage2_s{seed}.py) cargan explicitamente 'pruebas/run001_s{seed}_stage2_final' -- la misma rama run001 descartada de Fase 1, que no continua a Fase 3v2/4v2. Se EXCLUYEN de la Fase 2 canonica por el mismo motivo (no mezclar rama valida con entrenamiento abandonado); se muestran solo como nota de auditoria. Por tanto la Fase 2 canonica solo tiene inferencia disponible para la semilla 524: hueco visible para 42 y 123, no se sustituye ni se usa run001 como proxy."
STH-WP,stage2,123,no disponible,no disponible,aproximacion generalizada a 28 ubicaciones,False,no disponible,no disponible,no disponible,no disponible,no disponible,ausente,excluido,"CORREGIDO: verificado por MODEL_PATH que infer_run002_s524_stage2.py carga 'pruebas/run002_s524_stage2_final' (cadena canonica). Los tres archivos infer_run001_s{42,123,524}_stage2.csv SI existen, pero sus scripts (inferencia_sthwp/infer_stage2_s{seed}.py) cargan explicitamente 'pruebas/run001_s{seed}_stage2_final' -- la misma rama run001 descartada de Fase 1, que no continua a Fase 3v2/4v2. Se EXCLUYEN de la Fase 2 canonica por el mismo motivo (no mezclar rama valida con entrenamiento abandonado); se muestran solo como nota de auditoria. Por tanto la Fase 2 canonica solo tiene inferencia disponible para la semilla 524: hueco visible para 42 y 123, no se sustituye ni se usa run001 como proxy."
STH-WP,stage2,524,inferencia_sthwp/resultados/infer_run002_s524_stage2.csv,"stage2_s524_final (o equivalente, ver observaciones de fase)",aproximacion generalizada a 28 ubicaciones,False,2800,28,100,episodio;goal_id;tipo_episodio;resultado;pasos;reward;llego_estanteria;heading_llegada_rad,exito,completo,incluido,"CORREGIDO: verificado por MODEL_PATH que infer_run002_s524_stage2.py carga 'pruebas/run002_s524_stage2_final' (cadena canonica). Los tres archivos infer_run001_s{42,123,524}_stage2.csv SI existen, pero sus scripts (inferencia_sthwp/infer_stage2_s{seed}.py) cargan explicitamente 'pruebas/run001_s{seed}_stage2_final' -- la misma rama run001 descartada de Fase 1, que no continua a Fase 3v2/4v2. Se EXCLUYEN de la Fase 2 canonica por el mismo motivo (no mezclar rama valida con entrenamiento abandonado); se muestran solo como nota de auditoria. Por tanto la Fase 2 canonica solo tiene inferencia disponible para la semilla 524: hueco visible para 42 y 123, no se sustituye ni se usa run001 como proxy."
STH-WP,stage3v2,42,inferencia_sthwp/resultados/infer_run002_s42_stage3v2.csv,"stage3v2_s42_final (o equivalente, ver observaciones de fase)",salida (exit) desde la estanteria hacia la zona de descarga,False,2800,28,100,episodio;goal_id;tipo_episodio;resultado;pasos;reward;llego_estanteria,colision;exito,completo,incluido,"Se prioriza 3v2 frente a Fase 3 clasica (infer_run002_s524_stage3.csv, EXCLUIDA), tal y como exige el encargo."
STH-WP,stage3v2,123,inferencia_sthwp/resultados/infer_run002_s123_stage3v2.csv,"stage3v2_s123_final (o equivalente, ver observaciones de fase)",salida (exit) desde la estanteria hacia la zona de descarga,False,2800,28,100,episodio;goal_id;tipo_episodio;resultado;pasos;reward;llego_estanteria,colision;exito,completo,incluido,"Se prioriza 3v2 frente a Fase 3 clasica (infer_run002_s524_stage3.csv, EXCLUIDA), tal y como exige el encargo."
STH-WP,stage3v2,524,inferencia_sthwp/resultados/infer_run002_s524_stage3v2.csv,"stage3v2_s524_final (o equivalente, ver observaciones de fase)",salida (exit) desde la estanteria hacia la zona de descarga,False,2800,28,100,episodio;goal_id;tipo_episodio;resultado;pasos;reward;llego_estanteria,colision;exito,completo,incluido,"Se prioriza 3v2 frente a Fase 3 clasica (infer_run002_s524_stage3.csv, EXCLUIDA), tal y como exige el encargo."
STH-WP,stage4v2,42,inferencia_sthwp/resultados/infer_run002_s42_stage4v2.csv,"stage4v2_s42_final (o equivalente, ver observaciones de fase)",ciclo aproximacion+salida en el mismo episodio,False,2800,28,100,episodio;goal_id;tipo_episodio;resultado;pasos;reward;llego_estanteria,exito,completo,incluido,"Se prioriza 4v2 frente a Fase 4 clasica (infer_run002_s524_stage4.csv, EXCLUIDA)."
